,Unnamed: 0,class,precision_CDI_01234,recall_CDI_01234,f1_score_CDI_01234,support,Unnamed: 0,class,precision_CDI_0123,recall_CDI_0123,f1_score_CDI_0123,support,Unnamed: 0,class,precision_CDI_012,recall_CDI_012,f1_score_CDI_012,support,Unnamed: 0,class,precision_CDI_01,recall_CDI_01,f1_score_CDI_01,support,Unnamed: 0,class,precision_CDI0,recall_CDI0,f1_score_CDI0,support,Unnamed: 0,class,precision_RF,recall_RF,f1_score_RF,support
74,74,0,0.98,0.55,0.7,80,,,,,,,,,,,,,,,,,,,,,,,,,74,0,0.91,0.92,0.91,73
75,75,1,0.62,0.98,0.76,60,,,,,,,,,,,,,,,,,,,,,,,,,75,1,0.91,0.9,0.9,67
76,76,0,1.0,0.51,0.67,73,,,,,,,,,,,,,,,,,,,,,,,,,76,0,0.91,0.9,0.91,70
77,77,1,0.65,1.0,0.79,67,,,,,,,,,,,,,,,,,,,,,,,,,77,1,0.9,0.91,0.91,70
78,78,0,0.97,0.56,0.71,70,,,,,,,,,,,,,,,,,,,,,,,,,78,0,0.9,0.9,0.9,72
79,79,1,0.69,0.99,0.81,70,,,,,,,,,,,,,,,,,,,,,,,,,79,1,0.9,0.9,0.9,68
80,80,0,1.0,0.53,0.69,72,,,,,,,,,,,,,,,,,,,,,,,,,80,0,0.94,0.88,0.91,68
81,81,1,0.67,1.0,0.8,68,,,,,,,,,,,,,,,,,,,,,,,,,81,1,0.89,0.94,0.92,72
82,82,0,0.95,0.51,0.67,68,,,,,,,,,,,,,,,,,,,,,,,,,82,0,0.97,0.85,0.91,73
83,83,1,0.68,0.97,0.8,72,,,,,,,,,,,,,,,,,,,,,,,,,83,1,0.86,0.97,0.91,67
84,84,0,1.0,0.52,0.68,73,,,,,,,,,,,,,,,,,,,,,,,,,84,0,0.89,0.9,0.9,71
85,85,1,0.66,1.0,0.79,67,,,,,,,,,,,,,,,,,,,,,,,,,85,1,0.9,0.88,0.89,69
86,86,0,1.0,0.51,0.67,71,,,,,,,,,,,,,,,,,,,,,,,,,86,0,0.96,0.95,0.95,74
87,87,1,0.66,1.0,0.8,69,,,,,,,,,,,,,,,,,,,,,,,,,87,1,0.94,0.95,0.95,66
88,88,0,0.98,0.55,0.71,74,,,,,,,,,,,,,,,,,,,,,,,,,88,0,0.96,0.92,0.94,75
89,89,1,0.66,0.98,0.79,66,,,,,,,,,,,,,,,,,,,,,,,,,89,1,0.91,0.95,0.93,65
90,90,0,0.98,0.55,0.7,77,,,,,,,,,,,,,,,,,,,,,,,,,90,0,0.93,0.86,0.89,73
91,91,1,0.64,0.98,0.77,63,,,,,,,,,,,,,,,,,,,,,,,,,91,1,0.86,0.93,0.89,67
92,92,0,0.95,0.55,0.7,73,,,,,,,,,,,,,,,,,,,,,,,,,92,0,0.93,0.92,0.93,77
93,93,1,0.66,0.97,0.79,67,,,,,,,,,,,,,,,,,,,,,,,,,93,1,0.91,0.92,0.91,63
94,94,0,0.96,0.42,0.58,65,,,,,,,,,,,,,,,,,,,,,,,,,94,0,0.89,0.85,0.87,65
95,95,1,0.66,0.99,0.79,75,,,,,,,,,,,,,,,,,,,,,,,,,95,1,0.87,0.91,0.89,75
96,96,0,0.98,0.57,0.72,75,,,,,,,,,,,,,,,,,,,,,,,,,96,0,0.91,0.96,0.94,75
97,97,1,0.67,0.98,0.8,65,,,,,,,,,,,,,,,,,,,,,,,,,97,1,0.95,0.89,0.92,65
98,98,0,0.97,0.53,0.69,73,,,,,,,,,,,,,,,,,,,,,,,,,98,0,0.94,0.85,0.89,73
99,99,1,0.66,0.99,0.79,67,,,,,,,,,,,,,,,,,,,,,,,,,99,1,0.85,0.94,0.89,67
100,100,0,1.0,0.51,0.68,78,,,,,,,,,,,,,,,,,,,,,,,,,100,0,0.92,0.88,0.9,78
101,101,1,0.62,1.0,0.77,62,,,,,,,,,,,,,,,,,,,,,,,,,101,1,0.86,0.9,0.88,62
